Feb 27 14:35:30 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21298, session=<bmPVBYufPOqsEgAI>
Feb 27 14:35:31 imap-login: Info: Login: user=<amhuU05VWVFLQ3FnWQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21300, session=<dtLaBYufTOqsEgAI>
Feb 27 14:35:31 imap-login: Info: Login: user=<SU9lVHRuODJZMERuTQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21302, session=<5ofdBYufVOqsEgAI>
Feb 27 14:35:31 imap-login: Info: Login: user=<QUFpRFZBNXZZeDlHTQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21305, session=<5VnfBYufXOqsEgAI>
Feb 27 14:35:31 imap-login: Info: Login: user=<Uml4NVhpQWpQNldpLgo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21307, session=<w77fBYufZOqsEgAI>
Feb 27 14:35:32 imap-login: Info: Login: user=<SU9lVHRuODJZMERuTQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21313, session=<GRDrBYufduqsEgAI>
Feb 27 14:35:32 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21315, session=<aCPuBYufgOqsEgAI>
Feb 27 14:35:32 imap-login: Info: Login: user=<dWlZRlBzN1hYMGN5cwo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21318, session=<8BTwBYufiuqsEgAI>
Feb 27 14:35:32 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21320, session=<IjvxBYufkuqsEgAI>
Feb 27 14:35:32 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21322, session=<zW3zBYufmuqsEgAI>
Feb 27 14:35:33 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21324, session=<NKz5BYufouqsEgAI>
Feb 27 14:35:33 imap-login: Info: Login: user=<SU9lVHRuODJZMERuTQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21326, session=<ng/8BYufquqsEgAI>
Feb 27 14:35:33 imap-login: Info: Login: user=<SU9lVHRuODJZMERuTQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21328, session=<aO78BYufsuqsEgAI>
Feb 27 14:35:33 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21331, session=<ss4ABoufyOqsEgAI>
Feb 27 14:35:33 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21333, session=<EpIEBouf0uqsEgAI>
Feb 27 14:35:34 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21336, session=<9dAIBouf3uqsEgAI>
Feb 27 14:35:34 imap-login: Info: Login: user=<amhuU05VWVFLQ3FnWQo>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21338, session=<k2UPBouf7OqsEgAI>
Feb 27 14:35:34 imap-login: Info: Login: user=<>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21340, session=<//QRBouf9OqsEgAI>
Feb 27 14:35:34 imap-login: Info: Login: user=<zAFW.nsDv6rnw>, method=PLAIN, rip=172.18.0.8, lip=172.18.0.2, mpid=21342, session=<q+ESBouf/OqsEgAI>
